pulse_name,max_price,min_price
Jack Fruit,  2400 , 1500 
Karbhuja,  700 , 300 
Lime,  2800 , 2700 
Badami,  3000 , 1000 
Hapus(Alphaso),  50000 , 10000 
Mousambi,  4500 , 650 
Darjeeling,  2700 , 2000 
Medium,  3200 , 2700 
Nagpuri,  4100 , 2820 
Orange,  6000 , 600 
Papaya,  2450 , 600 
Pine Apple,  3800 , 400 
Pomogranate,  10000 , 900 
Tender Coconut,  16000 , 6000 
Water Melon,  1800 , 250 
Bull,  40000 , 30000 
Cow,  60000 , 8000 
Goat,  6000 , 1500 
Ox,  22000 , 22000 
Pigs,  4500 , 2800 
She Baffelo,  50000 , 10000 
Sheep Medium,  6500 , 2100 
Caster,  4055 , 3525 
Castor seed,  4085 , 2800 
Copra,  12400 , 6510 
Ground Nut Seed,  8000 , 6100 
Balli/Habbu,  4149 , 1508 
Big (With Shell),  4800 , 1000 
Bold,  3640 , 3000 
DMV-7,  4460 , 4450 
G20,  3800 , 3000 
Gejje,  4515 , 1355 
Groundnut seed,  5300 , 5240 
Gungri (With Shell),  4153 , 2296 
Hybrid,  4550 , 4500 
Local,  4470 , 2000 
Natte,  4301 , 1771 
TMV-2,  4373 , 2460 
Groundnut(Split),  4583 , 3500 
Gurellu,  4315 , 3599 
Honge Seed,  2935 , 2935 
Linseed,  4430 , 3500 
Big 100 Kg,  3735 , 2800 
Lohi Black,  3850 , 2900 
Mustard,  4560 , 2800 
Sarson(Black),  4500 , 2840 
Yellow (Black),  3800 , 3650 
Safflower,  3332 , 1549 
Black,  10014 , 3369 
Sesame,  6500 , 5500 
White,  8325 , 5150 
Soyabeen,  3800 , 2609 
Yellow,  3876 , 1805 
Hybrid,  3581 , 2959 
Local,  3489 , 2500 
Sunflower,  3529 , 2982 
Suva (Dill Seed),  5300 , 5125 
Copra Oil,  19250 , 16000 
Dalda,  7500 , 6230 
Mustard Oil,  11000 , 7500 
Broken Rice,  1200 , 1000 
Achhu,  4300 , 2470 
Anakapalli,  3000 , 2700 
Black,  3400 , 3200 
Khandsari,  3220 , 2800 
Kurikatu,  3600 , 3200 
Mudde,  4500 , 2200 
Nizamabad,  3400 , 3100 
NO 2,  3500 , 2000 
NO 3,  2500 , 2000 
Pathari,  3000 , 2120 
Red,  3600 , 2000 
Unde,  4200 , 2022 
Yellow,  3640 , 2280 
Maida Atta,  2550 , 2000 
Millets,  1900 , 1900 
RSS-4,  12200 , 11800 
Chini,  4450 , 3300 
M-30,  3850 , 3700 
Wheat Atta,  2500 , 2140 
Alasande Gram,  5600 , 2269 
777 New Vasad Imp,  4275 , 3006 
Arhar (Whole),  5500 , 1710 
Arhar Dal(Tur),  7500 , 3111 
Desi(Whole),  3500 , 3450 
Hybrid,  3859 , 2929 
Local,  5450 , 2209 
Medium,  6700 , 2800 
Small (Whole),  5950 , 3400 
Arhar Dal(Tur),  8500 , 3200 
U.P. (Split),  5900 , 5500 
Avare (Whole),  7500 , 1002 
Beans (Whole),  6075 , 800 
Bengal Gram (Split),  6400 , 4450 
Bengal Gram Dal,  8400 , 4500 
Average (Whole),  7700 , 1217 
Desi (F.A.Q. Split),  4710 , 4400 
Desi (Whole),  6550 , 2651 
Gulabi,  3750 , 3500 
Jawari/Local,  4000 , 2259 
Kabul Small,  5385 , 3391 
Kanta,  3506 , 3165 
Black Gram (Whole),  7200 , 1100 
Black Gram Dal,  8000 , 5250 
Desi,  4950 , 2600 
Hybrid,  5500 , 4640 
Local,  4311 , 3101 
Black Gram Dal,  8100 , 4300 
Chennangi Dal,  4800 , 4000 
Cowpea (W-S),  4235 , 3501 
Cowpea (Whole),  7000 , 2523 
Green (Whole),  8600 , 1419 
Green Gram Dhall-I,  8000 , 6000 
Hybrid,  5600 , 4900 
Local,  5040 , 2021 
Local (Whole),  5600 , 5050 
Green Gram Dal,  7200 , 5400 
Green Peas,  5400 , 400 
White Fozi,  3600 , 1620 
Horse gram (Whole),  4351 , 1000 
Lak (Whole),  1755 , 1590 
Kala Masoor New,  4610 , 2875 
Masoor Gola,  4650 , 2700 
Masur Dal,  8200 , 3900 
Kala Masoor New,  9000 , 8000 
Masur Dal,  8000 , 3300 
Moath Dal,  6700 , 5400 
Ajwan,  7500 , 3500 
Garbled,  37500 , 36000 
Malabar,  36309 , 30000 
Ungrabled,  38000 , 36000 
Red,  13200 , 5000 
Big,  31000 , 8000 
Coconut,  22800 , 1000 
Grade- II,  2600 , 2400 
Grade-I,  30000 , 6000 
Grade-III,  20000 , 8000 
Medium,  14000 , 1100 
Coriander Seed,  12000 , 3011 
Cummin Seed(Jeera),  17500 , 9250 
1st Sort,  12500 , 3000 
2nd Sort,  10700 , 7200 
3rd Sort,  10600 , 7500 
Byadgi,  19000 , 4000 
Dabbi,  14229 , 1550 
Desi,  11000 , 8300 
Guntur,  8800 , 209 
Kaddi,  12509 , 955 
Local,  9555 , 2000 
Red,  18000 , 6150 
Single Patti,  12500 , 8000 
Talu,  4500 , 1700 
Average,  2720 , 1700 
China,  6000 , 5000 
Desi,  3000 , 1600 
Garlic,  5000 , 400 
Dry,  13100 , 1600 
Best,  3410 , 2920 
Methiseeds,  7701 , 1250 
Soanf,  16755 , 5250 
Bulb,  7900 , 2499 
Dry,  9250 , 8650 
Finger,  9387 , 4006 
Local,  7600 , 7000 
Rajapuri,  16100 , 6200 
Turmeric,  12100 , 6000 
Turmeric Stick,  12800 , 7700 
Amaranthus,  5000 , 1000 
Ashgourd,  2800 , 700 
Banana - Green,  5400 , 500 
Beetroot,  3800 , 200 
Bhindi,  5000 , 240 
Bitter Gourd,  6000 , 600 
Bottle Gourd,  2800 , 200 
Brinjal,  3700 , 180 
Round,  3000 , 650 
Round/Long,  2000 , 400 
Cabbage,  3000 , 120 
Capsicum,  7000 , 1000 
Carrot,  4400 , 200 
African Sarson,  1650 , 350 
Cauliflower,  4500 , 100 
Local,  1500 , 250 
Chilly Capsicum,  2400 , 1000 
Cluster Beans,  4050 , 700 
Colacasia,  4600 , 1220 
Coriander,  2150 , 300 
Local,  9600 , 4624 
Cowpea (Veg),  5600 , 1600 
Cucumbar,  4200 , 200 
Drumstick,  5500 , 500 
Elephant Yam (Suran),  3000 , 1000 
Field Pea,  4500 , 600 
French Beans (Frasbean),  900 , 800 
Green Ginger,  6000 , 800 
Green Avare (W),  2500 , 2000 
Green Chilly,  8100 , 18 
Gwar,  3000 , 2500 
Indian Beans (Seam),  2800 , 500 
Knool Khol,  1200 , 400 
Leafy Vegetables,  500 , 400 
Lemon,  9000 , 1650 
Mango - Raw-Ripe,  4500 , 2000 
Methi,  1500 , 400 
Big,  5000 , 1200 
Bombay (U.P.),  2850 , 2600 
Local,  2500 , 300 
Nasik,  2640 , 700 
Onion,  3000 , 200 
Pole,  1000 , 400 
Puna,  1150 , 300 
Red,  2000 , 100 
Small,  8500 , 1800 
Telagi,  900 , 400 
White,  1600 , 300 
Peas cod,  2400 , 600 
Peas Wet,  2700 , 300 
Pointed gourd (Parval),  3900 , 1500 
(Red Nanital),  1200 , 1000 
Badshah,  1000 , 300 
Big,  2000 , 1700 
Desi,  1125 , 250 
Jalander,  1500 , 300 
Jyoti,  1200 , 600 
Local,  1500 , 200 
Potato,  3000 , NR 
Pumpkin,  3500 , 200 
Raddish,  1200 , 100 
Ridgeguard(Tori),  4600 , 1000 
Round gourd,  1400 , 1000 
Seemebadanekai,  2000 , 1600 
Snakeguard,  4000 , 1000 
Squash(Chappal Kadoo),  1700 , 500 
Sweet Potato,  2600 , 300 
Sweet Pumpkin,  1800 , 600 
Tapioca,  2500 , 1000 
Deshi,  1700 , 400 
Hybrid,  2050 , 140 
Local,  1500 , 100 
Tomato,  2600 , 160 
